房源标题,链接,户型,面积,房屋朝向,装修形式,小区名称,地址,关注度,总价,单价,图片路径
青春海岸大三房两卫，大阳台，业主急售,https://xm.lianjia.com/ershoufang/105115383702.html,3室2厅,113.96平米,南 北,精装,海投青春海岸,马銮湾中心片区,3人关注 / 6个月以前发布,228,"20,008元/平",images\house_4_27.jpg
地铁二号线 江头站 吕岭花园 精装两房 停车便利,https://xm.lianjia.com/ershoufang/105109721912.html,2室2厅,75.35平米,南 北,精装,吕岭花园,金尚,86人关注 / 一年前发布,230,"30,525元/平",images\house_4_28.jpg
2014年次新房 一梯两户小洋房 南北通透 背靠仙岳山,https://xm.lianjia.com/ershoufang/105116254745.html,3室2厅,108.88平米,南 北,简装,宝嘉誉峰,SM,2人关注 / 2个月以前发布,666,"61,169元/平",images\house_4_29.jpg
万科品质社区 精装大4房急售175万好户型好楼层看中庭,https://xm.lianjia.com/ershoufang/105116544419.html,4室2厅,90.56平米,南 北,精装,万科金域缇香,马巷,3人关注 / 1个月以前发布,170,"18,773元/平",images\house_5_0.jpg
实际使用面积大，大三房加个储物间，业主诚意出售,https://xm.lianjia.com/ershoufang/105113070346.html,3室1厅,90平米,南,精装,汇景新城中心,新店,0人关注 / 一年前发布,190,"21,112元/平",images\house_5_1.jpg
05年电梯 地铁口、BRT沿线、精装修三房 低总价,https://xm.lianjia.com/ershoufang/105116790064.html,3室1厅,53.83平米,北,精装,九龙城,火车站,2人关注 / 1个月以前发布,298,"55,360元/平",images\house_5_2.jpg
中楼层  精装修三房   业主诚售,https://xm.lianjia.com/ershoufang/105113251129.html,3室1厅,92.55平米,东,精装,龙腾花园二期,湖里大道,4人关注 / 一年前发布,325,"35,117元/平",images\house_5_3.jpg
满二，税费少，复式楼中楼毛坯4房，实际使用面积大,https://xm.lianjia.com/ershoufang/105116613230.html,4室1厅,103.74平米,南,简装,首开龙湖春江彼岸一期,马銮湾中心片区,0人关注 / 1个月以前发布,215,"20,725元/平",images\house_5_4.jpg
南部新城，中楼层，南北通透，商圈成熟,https://xm.lianjia.com/ershoufang/105116623450.html,3室2厅,88.76平米,南 北,精装,建发翔城国际南区,翔安新城,2人关注 / 1个月以前发布,220,"24,786元/平",images\house_5_5.jpg
近地铁，精装三房，采光好，交通便利，品质小区,https://xm.lianjia.com/ershoufang/105111301397.html,3室2厅,130.75平米,南,精装,西雅图,海沧外国语片区,15人关注 / 一年前发布,269,"20,574元/平",images\house_5_6.jpg
明厨明卫，采光好，双阳台，看中庭看海，视野开阔,https://xm.lianjia.com/ershoufang/105115302599.html,3室2厅,90.01平米,南,简装,禹洲中央海岸二期,杏林桥头,0人关注 / 6个月以前发布,228,"25,331元/平",images\house_5_7.jpg
此房户型方正，视野很好，不用担心采光,https://xm.lianjia.com/ershoufang/105113333128.html,3室1厅,117.09平米,南 北,精装,兴海苑,海沧生活区,0人关注 / 一年前发布,199,"16,996元/平",images\house_5_8.jpg
温尼花园 精装拎包入住，正规3房，客厅朝南带阳台，,https://xm.lianjia.com/ershoufang/105113873926.html,3室2厅,100.69平米,南,精装,特房银溪墅府温尼花园,环东海域,2人关注 / 11个月以前发布,265,"26,319元/平",images\house_5_9.jpg
东渡邮轮码头海上世界，2号线地铁口，高层海景房,https://xm.lianjia.com/ershoufang/105116398113.html,1室1厅,42.29平米,西,简装,鹭槟大厦,邮轮城,1人关注 / 2个月以前发布,165,"39,017元/平",images\house_5_10.jpg
地铁站水晶尚庭精装三房未入住过格局采光好,https://xm.lianjia.com/ershoufang/105116906742.html,3室2厅,88.06平米,南 北,精装,住宅水晶尚庭,马銮湾中心片区,3人关注 / 23天以前发布,205,"23,280元/平",images\house_5_11.jpg
地铁口石亭小区交通便利正规两房诚意售,https://xm.lianjia.com/ershoufang/105116842190.html,2室1厅,61.2平米,东 西,精装,石亭小区,市政府,2人关注 / 31天以前发布,300,"49,020元/平",images\house_5_12.jpg
交通便利 中间楼层 精装两房 地铁口,https://xm.lianjia.com/ershoufang/105116905091.html,2室2厅,87.93平米,南,精装,华澳花园,海沧外国语片区,0人关注 / 24天以前发布,185,"21,040元/平",images\house_5_13.jpg
厦门院子C区毛坯 朝南 两房 看房随时,https://xm.lianjia.com/ershoufang/105116538550.html,2室2厅,83.63平米,南 北,毛坯,厦门院子泰禾首玺C区,马銮湾中心片区,2人关注 / 1个月以前发布,159,"19,013元/平",images\house_5_14.jpg
天心岛三房 近地铁 中高楼层 采光通风好,https://xm.lianjia.com/ershoufang/105117006536.html,3室2厅,124.84平米,东南,精装,天心岛,滨海社区,7人关注 / 14天以前发布,369,"29,558元/平",images\house_5_15.jpg
金枋世家一期 3室2厅 南 北,https://xm.lianjia.com/ershoufang/105116946756.html,3室2厅,83.37平米,南 北,精装,金枋世家一期,枋湖,1人关注 / 20天以前发布,360,"43,182元/平",images\house_5_16.jpg
瑞丽洪文六里电梯高层楼间距80米的小区 厅带阳台朝南,https://xm.lianjia.com/ershoufang/105112875520.html,3室2厅,125.76平米,南 北,简装,瑞丽花园,瑞景,1人关注 / 一年前发布,750,"59,638元/平",images\house_5_17.jpg
南北朝向，位置好，不靠马路，适合自住,https://xm.lianjia.com/ershoufang/105112744376.html,2室2厅,94.41平米,南,精装,首开领翔国际,新店,8人关注 / 一年前发布,135,"14,300元/平",images\house_5_18.jpg
房东诚心出售  低于行情   使用面积120多平 4房,https://xm.lianjia.com/ershoufang/105116637480.html,4室1厅,88.55平米,南,简装,汇景新城中心,新店,3人关注 / 1个月以前发布,182,"20,554元/平",images\house_5_19.jpg
不靠马路 边套全明格局 满五年 高楼层 自住精装,https://xm.lianjia.com/ershoufang/105114509535.html,3室2厅,131.23平米,南 北,精装,首开领翔国际,新店,2人关注 / 9个月以前发布,210,"16,003元/平",images\house_5_20.jpg
海沧政务旁   地铁口  精装电梯两房  看房方便,https://xm.lianjia.com/ershoufang/105115019408.html,2室2厅,87.8平米,西南,精装,广场湖畔花园,海沧外国语片区,5人关注 / 7个月以前发布,216,"24,602元/平",images\house_5_21.jpg
湖明丽景 3室2厅 南 北,https://xm.lianjia.com/ershoufang/105116970755.html,3室2厅,138.14平米,南 北,精装,湖明丽景,槟榔,1人关注 / 17天以前发布,898,"65,007元/平",images\house_5_22.jpg
格局方正前后中庭环抱于小区内静怡舒适品牌家电,https://xm.lianjia.com/ershoufang/105116403675.html,5室2厅,124.31平米,南 北,精装,联合博学园,新店,0人关注 / 2个月以前发布,298,"23,973元/平",images\house_5_23.jpg
万象城旁2014年花园小区电梯小两房诚售,https://xm.lianjia.com/ershoufang/105116473194.html,2室1厅,59.82平米,东 南,精装,罗宾森购物广场二期,火车站,1人关注 / 2个月以前发布,296,"49,482元/平",images\house_5_24.jpg
近地铁口 中楼层 三房朝南 一梯两户 全明户型,https://xm.lianjia.com/ershoufang/105116203021.html,3室2厅,94.99平米,南,简装,海青花园,海沧生活区,1人关注 / 2个月以前发布,180,"18,950元/平",images\house_5_25.jpg
乐海商圈建发天悦平层三居 人文环境好 楼层佳 东边套,https://xm.lianjia.com/ershoufang/105116735985.html,3室2厅,99.77平米,南 北,毛坯,建发中央天悦,同安其它,1人关注 / 1个月以前发布,175,"17,541元/平",images\house_5_26.jpg
湖边水库 大四房 精装楼中楼 高层 视野开阔 看山看海,https://xm.lianjia.com/ershoufang/105117026460.html,4室2厅,155.93平米,南 北,精装,世茂湖滨首府D区,湖边水库,1人关注 / 12天以前发布,820,"52,588元/平",images\house_5_27.jpg
精装修朝南大三房 采光好户型方正,https://xm.lianjia.com/ershoufang/105114918750.html,3室1厅,91.5平米,南,精装,中联观云溪,同安区,0人关注 / 7个月以前发布,152,"16,613元/平",images\house_5_28.jpg
泛华大厦，电梯小户型，中山医源旁，禾祥西次新小区,https://xm.lianjia.com/ershoufang/105115190021.html,1室1厅,55.44平米,西,精装,泛华大厦,禾祥西路,0人关注 / 6个月以前发布,298,"53,752元/平",images\house_5_29.jpg
"此房南北对流,2号线地铁口,比邻天竺山旅游示范区",https://xm.lianjia.com/ershoufang/105112735562.html,2室2厅,60.82平米,南 北,精装,海投过云溪一组团,东孚,14人关注 / 一年前发布,99,"16,278元/平",images\house_6_0.jpg
全款在售，诚意出售 精致两房  欢迎实地看房,https://xm.lianjia.com/ershoufang/105117002346.html,2室2厅,53.98平米,东,精装,龙湖花园二期,枋湖,1人关注 / 14天以前发布,210,"38,904元/平",images\house_6_1.jpg
视野开阔， 采光充足， 交通便利,https://xm.lianjia.com/ershoufang/105113197684.html,1室1厅,53.59平米,西,简装,京口岩小区,未来海岸北师大,2人关注 / 一年前发布,85,"15,862元/平",images\house_6_2.jpg
银溪墅府图尔花园 高层大两房 房东诚意出售,https://xm.lianjia.com/ershoufang/105117020792.html,2室2厅,84.76平米,南,精装,特房银溪墅府图尔花园,环东海域,0人关注 / 13天以前发布,182,"21,473元/平",images\house_6_3.jpg
沧二小区 1室1厅 南 北,https://xm.lianjia.com/ershoufang/105116797689.html,1室1厅,49.19平米,南 北,精装,沧二小区,海沧生活区,2人关注 / 1个月以前发布,105,"21,346元/平",images\house_6_4.jpg
融信个人产权保养好公园小区体验感好,https://xm.lianjia.com/ershoufang/105116352546.html,2室1厅,39.74平米,西,精装,融信海上城,滨海社区,1人关注 / 2个月以前发布,64,"16,105元/平",images\house_6_5.jpg
一号线600米精装三房两卫，业主二次装修，诚售,https://xm.lianjia.com/ershoufang/105112470545.html,3室2厅,100.59平米,南 北,精装,中骏四季阳光,厦门北站商业区,3人关注 / 一年前发布,185,"18,392元/平",images\house_6_6.jpg
火车站09年电梯人车分流小区，中层精装四房。,https://xm.lianjia.com/ershoufang/105114291068.html,4室2厅,160.09平米,南 北,精装,森海丽景,火车站,5人关注 / 10个月以前发布,628,"39,228元/平",images\house_6_7.jpg
累计降价100万，97年框架好房，楼层适中，精装修,https://xm.lianjia.com/ershoufang/105110689268.html,2室2厅,77.06平米,南 北,精装,海山路,东渡,7人关注 / 一年前发布,218,"28,290元/平",images\house_6_8.jpg
学村优质房源  看房方便  房东诚意出售,https://xm.lianjia.com/ershoufang/105116236924.html,2室2厅,85.02平米,南 北,简装,福南小区,集美文教区,2人关注 / 2个月以前发布,200,"23,524元/平",images\house_6_9.jpg
特房樾琴湾，精装小3房，看中庭园林,https://xm.lianjia.com/ershoufang/105116574147.html,3室2厅,77.99平米,南,精装,特房樾琴湾,环东海域,1人关注 / 1个月以前发布,175,"22,439元/平",images\house_6_10.jpg
莲花国际 边套三房  采光好 户型方正 地铁口旁,https://xm.lianjia.com/ershoufang/105113134851.html,3室2厅,117.34平米,南,简装,住宅莲花国际,集美新城,0人关注 / 一年前发布,300,"25,567元/平",images\house_6_11.jpg
宁宝花园精装三房南北通风看房方便，双阳台,https://xm.lianjia.com/ershoufang/105116930454.html,3室2厅,115.64平米,东南 南,精装,宁宝花园,杏东,2人关注 / 21天以前发布,236,"20,409元/平",images\house_6_12.jpg
南部新城鼓锣地铁口上金海升科技，公摊低精装三房,https://xm.lianjia.com/ershoufang/105116718762.html,3室1厅,89.98平米,南 北,简装,建发翔城国际北区,翔安新城,2人关注 / 1个月以前发布,238,"26,451元/平",images\house_6_13.jpg
此房产权满5年格局好楼层还视野开阔采光充足,https://xm.lianjia.com/ershoufang/105116593065.html,3室2厅,107.61平米,南 北,精装,天湖城,海沧区政府,1人关注 / 1个月以前发布,285,"26,485元/平",images\house_6_14.jpg
彼岸 大三房 精装修 三面采光 近距离的海湾公园和地铁,https://xm.lianjia.com/ershoufang/105115256415.html,3室2厅,137.66平米,南 西 北,精装,彼岸,滨海社区,3人关注 / 6个月以前发布,435,"31,600元/平",images\house_6_15.jpg
融创云潮府 开发商精装三房两卫,https://xm.lianjia.com/ershoufang/105116988980.html,3室2厅,89.61平米,南,精装,融创云潮府,马銮湾中心片区,1人关注 / 16天以前发布,198,"22,096元/平",images\house_6_16.jpg
北附 经典朝南一房 不靠路 少首付 D总价,https://xm.lianjia.com/ershoufang/105116225533.html,1室1厅,34.24平米,南,简装,未来橙堡,海沧体育中心,0人关注 / 2个月以前发布,68,"19,860元/平",images\house_6_17.jpg
禹洲大学城 2室2厅 南,https://xm.lianjia.com/ershoufang/105115315983.html,2室2厅,68.3平米,南,精装,禹洲大学城,集美其它,10人关注 / 6个月以前发布,120,"17,570元/平",images\house_6_18.jpg
禹洲精装修三房，采光好，户型房子，看中庭侧面看海,https://xm.lianjia.com/ershoufang/105116466695.html,3室1厅,89.91平米,东南,精装,禹洲中央海岸二期,杏林桥头,4人关注 / 2个月以前发布,238,"26,471元/平",images\house_6_19.jpg
禾祥西 公园小区 电梯高层 采光好 低总价一房,https://xm.lianjia.com/ershoufang/105116127920.html,1室1厅,39.27平米,北,精装,新嘉园,禾祥西路,1人关注 / 3个月以前发布,174,"44,309元/平",images\house_6_20.jpg
五缘湾新景缘精装三房拎包入住户型,https://xm.lianjia.com/ershoufang/105114431386.html,3室2厅,128.55平米,南,精装,新景缘,五缘湾,6人关注 / 9个月以前发布,580,"45,119元/平",images\house_6_21.jpg
厅带阳台朝南，精装小三房，江浦南里，电梯房，,https://xm.lianjia.com/ershoufang/105116594005.html,3室2厅,63.85平米,东南,精装,江浦南里,江头,2人关注 / 1个月以前发布,252,"39,468元/平",images\house_6_22.jpg
金尚片区 精装小三房 中间楼层 业主诚意出售看房方便,https://xm.lianjia.com/ershoufang/105113364817.html,3室2厅,74.4平米,南 北,精装,金北花园,金尚,10人关注 / 一年前发布,269,"36,156元/平",images\house_6_23.jpg
高层看海 视野开阔 无遮挡 居家两房 诚意出售,https://xm.lianjia.com/ershoufang/105116632056.html,2室1厅,51.86平米,东南,精装,泉舜滨海上城,滨海社区,0人关注 / 1个月以前发布,192,"37,023元/平",images\house_6_24.jpg
全新精装修未入住 低首付 配套齐全,https://xm.lianjia.com/ershoufang/105116496601.html,3室1厅,79.19平米,东南,精装,中梁正荣府,集美新城,1人关注 / 2个月以前发布,232,"29,297元/平",images\house_6_25.jpg
环东金都 高层边套户型 景观好  满两年 总价低,https://xm.lianjia.com/ershoufang/105116635450.html,2室2厅,91.11平米,东南,毛坯,金都海尚国际,环东海域,3人关注 / 1个月以前发布,210,"23,050元/平",images\house_6_26.jpg
环东大三房，使用大面积 中高层看海 诚意低总价,https://xm.lianjia.com/ershoufang/105114017220.html,3室2厅,74.23平米,南,精装,保利叁仟栋二期,环东海域,5人关注 / 11个月以前发布,191,"25,731元/平",images\house_6_27.jpg
杏林纺织路华铃花园中层两房全明格局，首付28万,https://xm.lianjia.com/ershoufang/105115641138.html,2室1厅,61.93平米,东南,简装,华铃花园,杏东,1人关注 / 5个月以前发布,123,"19,862元/平",images\house_6_28.jpg
北附  禹洲尊海高层看湖海 四房精装修 业主诚意出售,https://xm.lianjia.com/ershoufang/105115460910.html,4室2厅,113.14平米,东南 南,精装,禹洲尊海,海沧体育中心,4人关注 / 5个月以前发布,360,"31,819元/平",images\house_6_29.jpg
